Disease,Drug_Family,Drug_Name,Drug_URL,Disease_URL
Abdominal Radiological Procedure,General/Unspecified,vasopressin,https://www.drugs.com/mtm/vasopressin.html,https://www.drugs.com/condition/abdominal-radiological-procedure.html
Abdominal Radiological Procedure,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/vasopressin.html,https://www.drugs.com/condition/abdominal-radiological-procedure.html
Abnormal Uterine Bleeding,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/medroxyprogesterone.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,norethindrone,https://www.drugs.com/mtm/norethindrone.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Provera,https://www.drugs.com/mtm/provera.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,megestrol,https://www.drugs.com/mtm/megestrol.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Sprintec,https://www.drugs.com/cons/sprintec.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,ethinyl estradiol / levonorgestrel,https://www.drugs.com/mtm/ethinyl-estradiol-and-levonorgestrel.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Cryselle,https://www.drugs.com/cons/cryselle.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,ethinyl estradiol / norgestimate,https://www.drugs.com/mtm/ethinyl-estradiol-and-norgestimate.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,desogestrel / ethinyl estradiol,https://www.drugs.com/mtm/ethinyl-estradiol-and-desogestrel.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,ethinyl estradiol / norethindrone,https://www.drugs.com/mtm/ethinyl-estradiol-and-norethindrone-hrt.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Gallifrey,https://www.drugs.com/mtm/gallifrey.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Low-Ogestrel-28,https://www.drugs.com/cons/low-ogestrel.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Tri-Sprintec,https://www.drugs.com/cons/tri-sprintec.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Estarylla,https://www.drugs.com/pro/estarylla.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Jolessa,https://www.drugs.com/cons/jolessa.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Lutera,https://www.drugs.com/pro/lutera.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Mono-Linyah,https://www.drugs.com/pro/mono-linyah.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,CamreseLo,https://www.drugs.com/cons/camreselo.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Levora,https://www.drugs.com/pro/levora.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,conjugated estrogens,https://www.drugs.com/mtm/conjugated-estrogens.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abnormal Uterine Bleeding,General/Unspecified,Falmina,https://www.drugs.com/pro/falmina.html,https://www.drugs.com/condition/abnormal-uterine-bleeding.html
Abortion,General/Unspecified,mifepristone,https://www.drugs.com/mtm/mifepristone.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,carboprost,https://www.drugs.com/mtm/carboprost.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,hemabate,https://www.drugs.com/mtm/hemabate.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,oxytocin,https://www.drugs.com/mtm/oxytocin.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/misoprostol.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,Pitocin,https://www.drugs.com/mtm/pitocin.html,https://www.drugs.com/condition/abortion.html
Abortion,General/Unspecified,dinoprostone,https://www.drugs.com/mtm/dinoprostone-topical.html,https://www.drugs.com/condition/abortion.html
Abortion Induction in Ectopic Pregnancy (Ectopic Pregnancy),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/methotrexate-injection.html,https://www.drugs.com/condition/ectopic-pregnancy.html
"Abscess, brain (CNS Infection)",General/Unspecified,cefotaxime,https://www.drugs.com/mtm/cefotaxime.html,https://www.drugs.com/condition/cns-infection.html
"Abscess, brain (CNS Infection)",General/Unspecified,Prescribing Information,https://www.drugs.com/pro/cefotaxime.html,https://www.drugs.com/condition/cns-infection.html
"Abscess, brain (CNS Infection)",General/Unspecified,Claforan,https://www.drugs.com/mtm/claforan.html,https://www.drugs.com/condition/cns-infection.html
Absence Seizure (Seizures),General/Unspecified,Acetazolamide,https://www.drugs.com/mtm/acetazolamide.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Clobazam,https://www.drugs.com/mtm/clobazam.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Clorazepate,https://www.drugs.com/mtm/clorazepate.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Divalproex sodium,https://www.drugs.com/mtm/divalproex-sodium.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Felbamate,https://www.drugs.com/mtm/felbamate.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Lacosamide,https://www.drugs.com/mtm/lacosamide-oral-injection.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Lamotrigine,https://www.drugs.com/mtm/lamotrigine.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Levetiracetam,https://www.drugs.com/mtm/levetiracetam-oral-injection.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Phenobarbital,https://www.drugs.com/mtm/phenobarbital.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Primidone,https://www.drugs.com/mtm/primidone.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Topiramate,https://www.drugs.com/mtm/topiramate.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Valproic acid,https://www.drugs.com/mtm/valproic-acid.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Zonisamide,https://www.drugs.com/mtm/zonisamide.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Brivaracetam,https://www.drugs.com/mtm/brivaracetam-oral-injection.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Eslicarbazepine,https://www.drugs.com/mtm/eslicarbazepine.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Tiagabine,https://www.drugs.com/mtm/tiagabine.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Oxcarbazepine,https://www.drugs.com/mtm/oxcarbazepine.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Perampanel,https://www.drugs.com/mtm/perampanel.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Ethosuximide,https://www.drugs.com/mtm/ethosuximide.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,HP Acthar Gel,https://www.drugs.com/pro/h-p-acthar-gel.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/keppra.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Keppra XR,https://www.drugs.com/cons/keppra-xr.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Diastat,https://www.drugs.com/cons/diastat.html,https://www.drugs.com/condition/seizures.html
Absence Seizure (Seizures),General/Unspecified,Mysoline,https://www.drugs.com/mtm/mysoline.html,https://www.drugs.com/condition/seizures.html
Accelerating Angina (Angina),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/aspirin.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,nitroglycerin,https://www.drugs.com/mtm/nitroglycerin-oral-sublingual.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,ranolazine,https://www.drugs.com/mtm/ranolazine.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,enoxaparin,https://www.drugs.com/mtm/enoxaparin.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,isosorbide dinitrate,https://www.drugs.com/mtm/isosorbide-dinitrate.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,amlodipine / atorvastatin,https://www.drugs.com/mtm/amlodipine-and-atorvastatin.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Lopressor,https://www.drugs.com/cons/lopressor-metoprolol-intravenous.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Bayer Aspirin,https://www.drugs.com/cons/bayer.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Ecotrin,https://www.drugs.com/mtm/ecotrin.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Easprin,https://www.drugs.com/cons/easprin.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Nitrolingual Pumpspray,https://www.drugs.com/cons/nitrolingual.html,https://www.drugs.com/condition/angina-pectoris.html
Accelerating Angina (Angina),General/Unspecified,Katerzia,https://www.drugs.com/mtm/katerzia.html,https://www.drugs.com/condition/angina-pectoris.html
Accidental Bowel Leakage (Fecal Incontinence),General/Unspecified,dextranomer / sodium hyaluronate,https://www.drugs.com/mtm/dextranomer-and-sodium-hyaluronate.html,https://www.drugs.com/condition/fecal-incontinence.html
Acetaminophen Overdose,General/Unspecified,acetylcysteine,https://www.drugs.com/mtm/acetylcysteine.html,https://www.drugs.com/condition/acetaminophen-overdose.html
Acetaminophen Overdose,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/acetylcysteine-inhalation.html,https://www.drugs.com/condition/acetaminophen-overdose.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/meloxicam.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,indomethacin,https://www.drugs.com/mtm/indomethacin.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Naprelan,https://www.drugs.com/mtm/naprelan.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Aflaxen,https://www.drugs.com/cons/aflaxen.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,All Day Pain Relief,https://www.drugs.com/pro/all-day-pain-relief.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,All Day Relief,https://www.drugs.com/pro/all-day-relief.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Anaprox-DS,https://www.drugs.com/mtm/anaprox-ds.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,EC-Naprosyn,https://www.drugs.com/mtm/ec-naprosyn.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Indocin SR,https://www.drugs.com/mtm/indocin-sr.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Midol Extended Relief,https://www.drugs.com/mtm/midol-extended-relief.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Indocin,https://www.drugs.com/mtm/indocin.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,sulindac,https://www.drugs.com/mtm/sulindac.html,https://www.drugs.com/condition/tendonitis.html
Achilles Tendinitis (Tendonitis),General/Unspecified,Clinoril,https://www.drugs.com/cons/clinoril.html,https://www.drugs.com/condition/tendonitis.html
Achondroplasia,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/voxzogo-injection.html,https://www.drugs.com/condition/achondroplasia.html
Achondroplasia,General/Unspecified,vosoritide,https://www.drugs.com/mtm/vosoritide.html,https://www.drugs.com/condition/achondroplasia.html
Acid reflux (GERD),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/omeprazole.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Dexilant,https://www.drugs.com/mtm/dexilant.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Prilosec OTC,https://www.drugs.com/mtm/prilosec-otc.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,esomeprazole,https://www.drugs.com/mtm/esomeprazole.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,rabeprazole,https://www.drugs.com/mtm/rabeprazole.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Nexium 24HR,https://www.drugs.com/mtm/nexium-24hr.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,sucralfate,https://www.drugs.com/mtm/sucralfate.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Protonix IV,https://www.drugs.com/cons/protonix-iv.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Heartburn Relief,https://www.drugs.com/cons/heartburn-relief.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Acid Controller Maximum Strength,https://www.drugs.com/pro/berkley-and-jensen-acid-controller-maximum-strength.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Acid Controller Original Strength,https://www.drugs.com/pro/acid-controller-original-strength.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Acid Reducer Maximum Strength,https://www.drugs.com/pro/topcare-acid-reducer.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,dexlansoprazole,https://www.drugs.com/mtm/dexlansoprazole.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Heartburn Relief Maximum Strength,https://www.drugs.com/pro/major-heartburn-relief-maximum-strength.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid reflux (GERD),General/Unspecified,Barberry,https://www.drugs.com/mtm/barberry.html,https://www.drugs.com/condition/gastroesophageal-reflux-disease.html
Acid Sphingomyelinase Deficiency,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/xenpozyme.html,https://www.drugs.com/condition/acid-sphingomyelinase-deficiency.html
Acid Sphingomyelinase Deficiency,General/Unspecified,olipudase alfa,https://www.drugs.com/mtm/olipudase-alfa.html,https://www.drugs.com/condition/acid-sphingomyelinase-deficiency.html
Acidosis,General/Unspecified,sodium bicarbonate,https://www.drugs.com/mtm/sodium-bicarbonate.html,https://www.drugs.com/condition/acidosis.html
Acidosis,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/sodium-bicarbonate.html,https://www.drugs.com/condition/acidosis.html
Acinetobacter Pneumonia,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/xacduro.html,https://www.drugs.com/condition/acinetobacter-pneumonia.html
Acinetobacter Pneumonia,General/Unspecified,durlobactam / sulbactam,https://www.drugs.com/mtm/durlobactam-sulbactam.html,https://www.drugs.com/condition/acinetobacter-pneumonia.html
Acne,General/Unspecified,benzoyl peroxide,https://www.drugs.com/mtm/benzoyl-peroxide-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Acne Clear,https://www.drugs.com/mtm/acne-clear.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,salicylic acid,https://www.drugs.com/mtm/salicylic-acid-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Acnevir,https://www.drugs.com/mtm/acnevir.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Benzac AC,https://www.drugs.com/mtm/benzac-ac.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,azelaic acid,https://www.drugs.com/mtm/azelaic-acid-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Azelex,https://www.drugs.com/mtm/azelex.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,resorcinol,https://www.drugs.com/mtm/resorcinol-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,R A Acne,https://www.drugs.com/mtm/r-a-acne-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,dapsone,https://www.drugs.com/mtm/dapsone-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,tea tree oil,https://www.drugs.com/mtm/tea-tree-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,topical clindamycin,https://www.drugs.com/mtm/clindamycin-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Cleocin T,https://www.drugs.com/mtm/cleocin-t.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,topical erythromycin,https://www.drugs.com/mtm/erythromycin-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Erygel,https://www.drugs.com/mtm/erygel.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Neuac,https://www.drugs.com/mtm/neuac.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Benzamycin,https://www.drugs.com/mtm/benzamycin.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,tretinoin,https://www.drugs.com/mtm/tretinoin-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,adapalene,https://www.drugs.com/mtm/adapalene-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,isotretinoin,https://www.drugs.com/mtm/isotretinoin.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,adapalene/benzoyl peroxide,https://www.drugs.com/mtm/adapalene-and-benzoyl-peroxide-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Adoxa Pak,https://www.drugs.com/cons/adoxa-pak.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Dynacin,https://www.drugs.com/cons/dynacin.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,norgestimate/ethinyl estradiol,https://www.drugs.com/mtm/ethinyl-estradiol-and-norgestimate.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Estarylla,https://www.drugs.com/mtm/estarylla.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,drospirenone/ethinyl estradiol,https://www.drugs.com/mtm/drospirenone-and-ethinyl-estradiol.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/carospir-suspension.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,clindamycin,https://www.drugs.com/mtm/clindamycin-topical.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Doryx,https://www.drugs.com/cons/doryx.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Vibramycin,https://www.drugs.com/cons/vibramycin-calcium.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Acticlate,https://www.drugs.com/pro/acticlate.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,sulfamethoxazole / trimethoprim,https://www.drugs.com/mtm/sulfamethoxazole-and-trimethoprim.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Adoxa TT,https://www.drugs.com/cons/adoxa-tt.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Lavender,https://www.drugs.com/mtm/lavender.html,https://www.drugs.com/condition/acne.html
Acne,General/Unspecified,Tea tree topical,https://www.drugs.com/mtm/tea-tree-topical.html,https://www.drugs.com/condition/acne.html
Acne rosacea (Rosacea),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/doxycycline.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,metronidazole,https://www.drugs.com/mtm/metronidazole-topical.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,MetroGel,https://www.drugs.com/mtm/metrogel.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,azelaic acid,https://www.drugs.com/mtm/azelaic-acid-topical.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Doryx,https://www.drugs.com/cons/doryx.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,ivermectin,https://www.drugs.com/cons/ivermectin-topical-application.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,MetroCream,https://www.drugs.com/mtm/metrocream.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Azelex,https://www.drugs.com/mtm/azelex.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Noritate,https://www.drugs.com/mtm/noritate.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Monodox,https://www.drugs.com/cons/monodox.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,sulfacetamide sodium/sulfur,https://www.drugs.com/mtm/sulfacetamide-sodium-and-sulfur-topical.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,isotretinoin,https://www.drugs.com/mtm/isotretinoin.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,MetroLotion,https://www.drugs.com/mtm/metrolotion.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Vibramycin,https://www.drugs.com/cons/vibramycin-calcium.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Doryx MPC,https://www.drugs.com/cons/doryx-mpc.html,https://www.drugs.com/condition/acne-rosacea.html
Acne rosacea (Rosacea),General/Unspecified,Minocin,https://www.drugs.com/cons/minocin-minocycline-intravenous.html,https://www.drugs.com/condition/acne-rosacea.html
Acquired Blepharoptosis (Blepharoptosis),General/Unspecified,Upneeq,https://www.drugs.com/mtm/upneeq.html,https://www.drugs.com/condition/blepharoptosis.html
Acquired Blepharoptosis (Blepharoptosis),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/upneeq.html,https://www.drugs.com/condition/blepharoptosis.html
Acquired Blepharoptosis (Blepharoptosis),General/Unspecified,oxymetazoline,https://www.drugs.com/mtm/oxymetazoline-ophthalmic.html,https://www.drugs.com/condition/blepharoptosis.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,Triumeq PD,https://www.drugs.com/mtm/triumeq-pd.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,Symfi Lo,https://www.drugs.com/mtm/symfi-lo.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,abacavir,https://www.drugs.com/mtm/abacavir.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,emtricitabine,https://www.drugs.com/mtm/emtricitabine.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,amivudine,https://www.drugs.com/mtm/lamivudine.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,zidovudine,https://www.drugs.com/mtm/zidovudine-oral-injection.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,doravirine,https://www.drugs.com/mtm/doravirine.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,efavirenz,https://www.drugs.com/mtm/efavirenz.html,https://www.drugs.com/condition/hiv-infection.html
Acquired Immune Deficiency Syndrome (HIV Infection),General/Unspecified,etravirine,https://www.drugs.com/mtm/etravirine.html,https://www.drugs.com/condition/hiv-infection.html
