Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Acute kidney injury,lesión renal aguda,Diagnosis of acute kidney injury involves assessing blood tests (showing elevated urea and creatinine levels); urine output measurements (over 24 hours); urine tests (urinalysis); imaging tests (ultrasound and CT scans); and potentially a kidney biopsy (tissue sample for lab testing).  The diagnosis relies on identifying these factors to determine the extent of kidney function impairment and underlying cause.,Treating the underlying cause; Intravenous (IV) fluids; Diuretics; Potassium binders (sodium zirconium cyclosilicate (Lokelma); patiromer (Veltassa)); Calcium infusions; Hemodialysis; Special diet,Blood tests; Urine output measures; Urine tests (urinalysis); Imaging tests (ultrasound; CT scan); Kidney biopsy,Sodium zirconium cyclosilicate (Lokelma); Patiromer (Veltassa)
Acute liver failure,insuficiencia hepática aguda,"Assessment of liver function through blood tests (including prothrombin time to assess clotting); imaging tests such as ultrasound, CT scan, and MRI to visualize the liver and identify potential causes like Budd-Chiari syndrome or tumors; liver biopsy to examine liver tissue and determine the cause of failure.","Treatment of underlying cause (e.g., reversing poisoning); Medications to manage complications (e.g., cerebral edema, infections, bleeding); Nutritional support; Liver transplant; Artificial hepatic assist devices (e.g., extracorporeal liver support system/high-volume plasma exchange); Hepatocyte transplantation; Auxiliary liver transplantation; Xenotransplantation (experimental).",Blood tests; Prothrombin time test; Ultrasound; Abdominal CT scan; Magnetic resonance imaging (MRI); Liver biopsy (including transjugular liver biopsy),Acetylcysteine; Medications to reduce cerebral edema; Medications to treat infections; Medications to reduce bleeding risk; Nutritional supplements.
Acute lymphocytic leukemia,leucemia linfocítica aguda,"Diagnosis of acute lymphocytic leukemia involves blood tests revealing abnormal white blood cell counts and the presence of blast cells; bone marrow aspiration and biopsy to identify leukemia cells, classify them by type (B or T lymphocytes), and analyze genetic changes; imaging tests (X-ray, CT scan, ultrasound) to assess cancer spread; and spinal fluid test (lumbar puncture) to check for central nervous system involvement.  The seriousness is determined by lymphocyte type (B or T cells), genetic changes, age, and lab test results.  There are no stages.",Induction therapy; Consolidation therapy; Maintenance therapy; Preventive treatment to the spinal cord; Chemotherapy; Targeted therapy; Radiation therapy; Bone marrow transplant (stem cell transplant); CAR-T cell therapy; Clinical trials,Blood tests; Bone marrow aspiration; Bone marrow biopsy; X-ray; Computerized tomography (CT) scan; Ultrasound scan; Lumbar puncture (spinal tap),Information not found
Acute myelogenous leukemia,leucemia mielógena aguda,"Diagnosis begins with an exam checking for bruising, bleeding, infection, and swollen lymph nodes.  Further diagnosis involves blood tests (complete blood count to assess blood cell counts and identify myeloblasts), bone marrow aspiration and biopsy (to examine bone marrow cells for DNA changes), and sometimes a lumbar puncture (if spread to the brain and spinal cord is suspected). Imaging tests (CT, MRI, PET) may be used to assess for spread to other parts of the body.  Genetic testing is used to determine the AML subtype.",Chemotherapy; Targeted therapy; Bone marrow transplant; Clinical trials,Complete blood count; Blood test for myeloblasts; Bone marrow aspiration; Bone marrow biopsy; Lumbar puncture; CT scan; MRI scan; PET scan; Genetic testing,Information not found
Acute sinusitis,Sinusitis aguda,"Physical exam including palpation for tenderness in the nose and face; inspection of the nasal passages; nasal endoscopy; CT scan (not usually for simple cases, but may help rule out other causes); nasal and sinus samples (rarely used, but may be necessary if condition worsens or doesn't improve with treatment).","Self-care; saline nasal spray; nasal corticosteroids; decongestants; allergy medications (for allergy-induced sinusitis); pain relievers; antibiotics (for severe, worsening, or persistent symptoms); immunotherapy (for allergy-related sinusitis); nasal lavage (neti pot or squeeze bottle).",Nasal endoscopy; CT scan; Nasal and sinus samples,fluticasone; budesonide; mometasone; beclomethasone; acetaminophen; ibuprofen; aspirin
Addison's disease,enfermedad de addison,"Diagnosis involves reviewing medical history and symptoms, followed by tests to check for Addison's disease or secondary adrenal insufficiency.  Diagnostic criteria aren't explicitly listed but are implied through the diagnostic tests described.",Corticosteroid medication replacement; Increased sodium intake in diet; Corticosteroid injections in case of emergency; Medical alert card and bracelet; Action plan; Regular follow-up with healthcare professional; Yearly checkups,"Blood test (measuring sodium, potassium, cortisol, ACTH, and Addison's disease-related antibodies); ACTH stimulation test; Insulin-induced hypoglycemia test; CT scan of the stomach area; MRI of the pituitary gland","Hydrocortisone (Cortef); Prednisone (Rayos, Prednisone Intensol); Methylprednisolone (Medrol); Fludrocortisone acetate"
Adenomyosis,Adenomyosis,"Adenomyosis diagnosis is challenging due to similar symptoms with other uterine conditions like fibroids, endometriosis, and endometrial polyps. Diagnosis often involves ruling out other conditions.  Suspicion arises from signs and symptoms, pelvic exam revealing an enlarged, tender uterus, ultrasound, and MRI.  While pelvic imaging can detect signs, confirmation typically requires examination of the uterus post-hysterectomy; endometrial biopsy may rule out other conditions but won't confirm adenomyosis.","Anti-inflammatory drugs; Hormone medications (combined estrogen-progestin birth control pills, hormone-containing patches, vaginal rings, progestin-only contraception, continuous-use birth control pills); Hysterectomy",Pelvic exam; Ultrasound; Magnetic resonance imaging (MRI); Endometrial biopsy,Ibuprofen
Adjustment disorders,Adjustment disorders,"A mental health professional assesses major life stressors, symptoms, and their impact on daily life through a clinical interview focusing on medical, mental health, and social history.  Key diagnostic criteria include onset of emotional or behavioral symptoms within three months of a specific stressful event; disproportionate stress response to the event; symptoms not attributable to another mental health condition or typical grieving.","Talk therapy (individual, group, or family); Medications (antidepressants; anti-anxiety drugs)",Information not found,Antidepressants; Anti-anxiety drugs
Adnexal tumors and masses,Adnexal tumors and masses,"Diagnosis begins with a pelvic exam to palpate pelvic organs.  Imaging tests (ultrasound, CT scan, MRI) visualize the location and size of the mass. Blood tests may include a pregnancy test, infection tests, and tumor marker tests (e.g., CA-125).",No treatment (for small cysts); Surgery to remove the tumor or mass,Pelvic exam; Ultrasound; CT scan; MRI; Pregnancy test; Blood tests for infection; CA-125 test,Information not found
Adrenal cancer,Adrenal cancer,"Diagnosis begins with a physical exam, review of health and family history, and blood and urine tests to assess hormone levels (cortisol, aldosterone, androgens).  Imaging tests (CT, MRI, PET scans) are used to visualize adrenal growths and assess metastasis.  In some cases, surgical removal of the adrenal gland followed by pathological examination is necessary for diagnosis.",Surgery (adrenalectomy); Radiation therapy; Chemotherapy; Mitotane (Lysodren); Immunotherapy,Blood tests; Urine tests; CT scan; MRI scan; PET scan; Surgical removal of adrenal gland with pathological examination,Mitotane (Lysodren)
Adrenoleukodystrophy,Adrenoleukodystrophy,Review of symptoms and medical/family history; physical examination; blood testing to check for high levels of very long-chain fatty acids (VLCFAs) and to evaluate adrenal gland function; genetic testing for ALD-causing defects/mutations; MRI to detect brain abnormalities; vision screening (to monitor disease progression in males with no other symptoms); skin biopsy and fibroblast cell culture (in some cases).,"Stem cell transplantation; Adrenal insufficiency treatment (corticosteroid replacement therapy); Medications to relieve symptoms (stiffness, seizures); Physical therapy; Gene therapy (in clinical trials).",Blood testing; Genetic testing; MRI; Vision screening; Skin biopsy; Fibroblast cell culture,Corticosteroids
Adult attention-deficit/hyperactivity disorder (ADHD),Adult attention-deficit/hyperactivity disorder (ADHD),"Diagnosis involves a physical exam to rule out other conditions; information gathering about medical history, personal history, and symptom history; and the use of ADHD rating scales or psychological tests to evaluate symptoms.  No single test confirms the diagnosis. Core symptoms must begin before age 12 and continue into adulthood to be considered ADHD.",Medication; education; skills training; psychological counseling; psychotherapy; cognitive behavioral therapy; marital counseling; family therapy,Physical exam; ADHD rating scales; psychological tests,methylphenidate; amphetamine; atomoxetine; bupropion
Adult Still disease,Adult Still disease,No single test identifies adult Still disease.  Diagnosis is based on symptoms and ruling out other conditions with similar symptoms through blood tests and imaging.,Nonsteroidal anti-inflammatory drugs (NSAIDs); Steroids; Methotrexate; Biologic response modifiers; Exercise,Antinuclear antibody (ANA) test; C-reactive protein test; CT scan; Echocardiogram; Ferritin test; Sed rate (erythrocyte sedimentation rate); Ultrasound; X-ray,ibuprofen; naproxen sodium; prednisone; methotrexate (Trexall); anakinra (Kineret); canakinumab (Ilaris); tocilizumab (Actemra); etanercept (Enbrel); infliximab (Remicade); adalimumab (Humira); rituximab (Rituxan)
Age spots (liver spots),Age spots (liver spots),"Visual inspection by a doctor; Skin biopsy to distinguish age spots from other conditions, such as lentigo maligna.","Prescription bleaching creams (hydroquinone) alone or with retinoids (tretinoin) and a mild steroid; Laser and intense pulsed light therapies; Freezing (cryotherapy); Dermabrasion; Microdermabrasion; Chemical peel; Over-the-counter fade creams containing hydroquinone, glycolic acid, or kojic acid; Makeup to conceal spots.",Skin biopsy,Hydroquinone; Tretinoin
Agoraphobia,Agoraphobia,Based on symptoms; in-depth interview with a healthcare or mental health provider; physical exam to rule out other conditions.,Psychotherapy (cognitive behavioral therapy); Exposure therapy; Intensive outpatient program; Residential program; Medications (antidepressants; anti-anxiety medications),Physical exam,Fluoxetine (Prozac); Sertraline (Zoloft); Benzodiazepines
Airplane ear,Airplane ear,Diagnosis of airplane ear (ear barotrauma) is based on medical history and an examination of the ear with an otoscope.,"Time; Decongestant nasal sprays; Oral decongestants; Nonsteroidal anti-inflammatory drugs (ibuprofen, naproxen sodium); Acetaminophen; Valsalva maneuver; Myringotomy (rarely needed)",Otoscopic examination,Decongestant nasal sprays; Ibuprofen; Naproxen sodium; Acetaminophen
Albinism,Albinism,"Physical exam assessing skin and hair pigmentation; Thorough eye exam by an ophthalmologist, including retinal assessment; Comparison of pigmentation to family members; Review of medical history (including bleeding, bruising, infections); Genetic testing to determine type of albinism and genetic risk.","Eye care (annual eye exams, prescription lenses, possible eye muscle surgery for nystagmus or strabismus); Skin care and skin cancer prevention (annual skin exams); Specialized care for Hermansky-Pudlak or Chediak-Higashi syndromes.",Physical exam; Eye exam; Genetic testing,Information not found
Alcohol intolerance,Alcohol intolerance,"Physical exam; Skin test to identify potential allergies to ingredients in alcoholic beverages; Blood test to measure immunoglobulin E antibodies, though test accuracy is noted to be inconsistent.",Avoidance of alcohol or specific problematic beverages/ingredients; Over-the-counter or prescription antihistamines for minor reactions.,Skin test; Blood test,Over-the-counter antihistamines; Prescription antihistamines
Alcohol poisoning,Alcohol poisoning,"Assessment of visible signs and symptoms; blood and urine tests to check blood alcohol levels and identify other signs of alcohol toxicity, such as low blood sugar.",Monitoring to prevent breathing or choking problems; Oxygen therapy; Fluids given through a vein to prevent dehydration; Use of vitamins and glucose to prevent serious complications; Hemodialysis (for methanol or isopropyl alcohol ingestion),Blood test; Urine test,Information not found
Alcohol use disorder,Alcohol use disorder,"Assessment of drinking habits through questions; Physical exam to identify physical signs of alcohol-related complications; Review of lab test results (though no specific test diagnoses alcohol use disorder, patterns may suggest it); Psychological evaluation including questions about symptoms, thoughts, feelings, and behavior patterns; potentially questionnaires.","Brief intervention; Individual or group counseling; Outpatient program; Residential inpatient stay; Detoxification (medically managed withdrawal); Learning new skills and treatment planning (goal setting, behavior change techniques, self-help manuals, counseling, follow-up care); Psychological counseling (individual, group, couples, or family therapy); Oral medications; Injected medication; Aftercare programs; Support groups; Treatment for co-occurring mental health disorders; Medical treatment for alcohol-related health problems.",Lab tests; Imaging tests,Disulfiram; Naltrexone; Acamprosate; Vivitrol (injectable naltrexone)
Alcoholic hepatitis,Alcoholic hepatitis,"Diagnosis involves a physical exam, assessment of alcohol use history, liver function tests, blood tests, and imaging studies such as ultrasound, CT, or MRI scans. A liver biopsy may be performed if other tests are inconclusive or if other causes of hepatitis are suspected.",Quitting alcohol consumption; Special diet to address malnutrition; Medications to reduce liver swelling (inflammation);  Counseling; Alcoholics Anonymous or other support groups; Outpatient or live-in treatment program; Liver transplant (in severe cases and with stringent criteria),Liver function tests; Blood tests; Ultrasound; CT scan; MRI scan; Liver biopsy,Corticosteroids; Pentoxifylline; N-acetylcysteine
Allergies,Allergies,"Detailed questioning about symptoms; Physical exam; Detailed symptom and trigger diary (including food diary for food allergies); Skin prick test; Intradermal skin test; Specific IgE (sIgE) blood testing (also known as RAST or ImmunoCAP testing).  If other causes are suspected, additional tests may be necessary.","Avoidance of triggers; Medications (pills, liquids, nasal sprays, eye drops); Immunotherapy (shots or sublingual tablets); Emergency epinephrine (e.g., Auvi-Q, EpiPen)",Skin prick test; Intradermal skin test; Specific IgE (sIgE) blood test (RAST or ImmunoCAP test),"Epinephrine (e.g., Auvi-Q, EpiPen); Antihistamines (mentioned as affecting skin test results, but specific names not listed)"
Alpha-gal syndrome,Alpha-gal syndrome,"Alpha-gal syndrome is diagnosed based on patient history (tick bites, location of tick exposure, symptoms, time elapsed between red meat consumption and symptom onset) and medical tests.  A key diagnostic criterion is the presence of alpha-gal antibodies.  A physical exam may also be conducted.","Avoiding foods containing red meat or mammal-derived products (beef, pork, lamb, organ meats, gelatin); Epinephrine auto-injector for serious reactions",Blood test to measure alpha-gal antibodies; Skin test to assess reactivity to red meat,Epinephrine
Alzheimer's disease,Alzheimer's disease,"Diagnosis involves patient symptom description (with family input), memory and thinking skills tests, blood and imaging tests to rule out other causes and identify Alzheimer's-related brain proteins (plaques and tangles).  Biomarker tests, including amyloid and tau protein measurements in blood or cerebrospinal fluid, and PET scans (amyloid and tau PET, FDG PET) are increasingly used to detect the presence and stage of the disease.",Medications,"Physical and neurological exam; Blood tests (including beta-amyloid and tau protein levels); Mental status and neuropsychological testing; Brain imaging (MRI, CT, FDG PET, Amyloid PET, Tau PET)","donepezil (Aricept, Adlarity); galantamine; rivastigmine transdermal patch (Exelon); memantine (Namenda)"
Ameloblastoma,Ameloblastoma,"Diagnosis begins with imaging tests (X-ray, CT, and MRI scans) to determine the tumor's extent; a tissue or cell sample is then sent to a lab for testing to confirm the diagnosis.  The tumor may be incidentally found on routine dental X-rays.","Surgery to remove the tumor; Surgery to repair the jaw; Radiation therapy; Prosthetics; Supportive care (including dietitian, speech and language therapy, and physical therapy)",X-ray; CT scan; MRI scan; Tissue biopsy,Information not found
Amenorrhea,Amenorrhea,"Pelvic exam to check for reproductive organ problems; Breast and genital exam (if never had a period) to assess puberty changes; Blood tests to identify hormonal imbalances; Imaging tests (ultrasound, MRI) to detect structural abnormalities; Hysteroscopy to visualize the uterus if other tests are inconclusive.",Birth control pills (combination and minipill); Hormone therapies; Medications for thyroid or pituitary disorders; Surgery for tumors or structural blockages.,Pregnancy test; Thyroid function test (TSH); Ovary function test (FSH); Prolactin test; Male hormone test; Ultrasound; Magnetic resonance imaging (MRI); Hysteroscopy,Birth control pills (combination and minipill)
Amnesia,Amnesia,"A comprehensive evaluation including detailed medical history from the patient and/or family/caregiver focusing on type and onset of memory loss, potential triggers (head injury, stroke, surgery), family history, substance use, and associated symptoms; physical exam, potentially including neurological exam; cognitive tests assessing thinking, judgment, and memory; imaging tests (MRI, CT scan) to rule out brain damage; blood tests to check for infection, nutritional deficiencies, etc.; EEG to detect seizure activity.","Occupational therapy for memory training and compensatory strategies; Technological assistance (smartphones, tablets, etc.) and low-tech memory aids (notebooks, calendars);  Treatment of underlying conditions (e.g., thiamine replacement for Wernicke-Korsakoff syndrome; cholinesterase inhibitors for Alzheimer's disease).",MRI; CT scan; Blood tests; EEG; Cognitive tests; Neurological exam,Cholinesterase inhibitors; Thiamine
Ampullary cancer,Ampullary cancer,"Diagnosis of ampullary cancer involves visualizing the ampulla of Vater using endoscopy, often with endoscopic ultrasound to obtain images;  Endoscopic retrograde cholangiopancreatography (ERCP) may be used to highlight bile ducts and identify blockages;  Biopsy of tissue samples is crucial for confirming the diagnosis and determining cancer characteristics.","Surgery (Whipple procedure, endoscopic surgery for small cancers, stent placement); Combined chemotherapy and radiation; Chemotherapy alone; Targeted therapy; Immunotherapy; Palliative care",Endoscopy; Endoscopic ultrasound; Endoscopic retrograde cholangiopancreatography (ERCP); Magnetic resonance cholangiopancreatography; CT scan; Biopsy,Information not found
Amyloidosis,Amyloidosis,"Amyloidosis is diagnosed through laboratory tests (blood and urine analysis for abnormal proteins; thyroid and kidney function tests), biopsy (of subcutaneous fat, bone marrow, or affected organs like liver or kidney to identify amyloid type), and imaging tests (Echocardiogram, MRI, Nuclear imaging) to assess organ damage.  The diagnosis can be challenging because symptoms mimic other conditions.","Treatment of underlying conditions (e.g., rheumatoid arthritis, tuberculosis); Chemotherapy; Heart medications; Drugs that increase urination; Targeted therapies; Autologous blood stem cell transplant; Dialysis; Organ transplant","Blood and urine analysis; Thyroid and kidney function tests; Biopsy (subcutaneous fat, bone marrow, affected organs); Echocardiogram; Magnetic resonance imaging (MRI); Nuclear imaging","patisiran (Onpattro); inotersen (Tegsedi); tafamidis (Vyndamax, Vyndaqel); diflunisal; Blood thinners (type unspecified);  Heart rate control medications (type unspecified)"
Amyotrophic lateral sclerosis (ALS),Amyotrophic lateral sclerosis (ALS),"Diagnosis can be challenging due to similar symptoms to other diseases.  Diagnosis involves ruling out other conditions using various tests such as EMG, nerve conduction studies, MRI, blood and urine tests (including serum neurofilament light levels), spinal tap, muscle biopsy, and nerve biopsy.  High serum neurofilament light levels in blood samples suggest ALS.",Medications; Breathing care (including mechanical ventilation and tracheostomy); Physical therapy; Occupational therapy; Speech therapy; Nutritional support; Psychological and social support,Electromyogram (EMG); Nerve conduction study; MRI; Blood and urine tests; Serum neurofilament light level test; Spinal tap (lumbar puncture); Muscle biopsy; Nerve biopsy,"Riluzole (Rilutek, Exservan, Tiglutik); Edaravone (Radicava)"
Anal cancer,Anal cancer,"Diagnosis involves a digital rectal exam to palpate for growths; anoscopy using an anoscope to visually examine the anal canal; imaging tests such as ultrasound, X-ray, MRI, CT scan, and PET scan to determine location and size; and biopsy to obtain a tissue sample for lab analysis to confirm cancer and determine cancer cell characteristics.  Staging tests, often including imaging, are used to determine the extent of cancer spread.",Chemotherapy; Radiation therapy; Surgery (including surgery for very small cancers and abdominoperineal resection - APR); Immunotherapy; Palliative care,Digital rectal exam; Anoscopy; Ultrasound; X-ray; MRI; CT scan; PET scan; Biopsy,Information not found
Anal fissure,Anal fissure,"Physical exam with visual inspection of the anal region;  A recent fissure appears as a fresh tear, while a chronic fissure (lasting over 8 weeks) shows a deeper tear and may have growths; Location may indicate underlying conditions like Crohn's disease.","Home treatment (increased fiber and fluids, warm water soaks); Externally applied nitroglycerin; Topical anesthetic creams (lidocaine); OnabotulinumtoxinA (Botox) injection; Blood pressure medications (nifedipine or diltiazem); Surgery (lateral internal sphincterotomy)",Anoscopy; Flexible sigmoidoscopy; Colonoscopy,Nitroglycerin (Rectiv); Lidocaine (Xylocaine); OnabotulinumtoxinA (Botox); Nifedipine; Diltiazem
Anal fistula,Anal fistula,"Physical exam to assess the area around and inside the anus, identifying the external opening;  imaging tests to identify the fistula's internal opening and complete path.",Fistulotomy; Endorectal advancement flap; Ligation of the intersphincteric fistula tract (LIFT); Seton placement; Fibrin glue and collagen plug; Ostomy and stoma; Muscle flap,MRI; Endoscopic ultrasound; Fistulography; Examination under anesthesia; Fistula probe; Anoscope; Flexible sigmoidoscopy; Colonoscopy; Injected dye solution,Information not found
Anal itching,Anal itching,"Diagnosis is based on patient symptoms, medical history, personal habits, and physical exam (including rectal exam).  A pinworm test may be done if suspected. If the cause is unclear or treatment ineffective, referral to a dermatologist or proctologist may occur.","Anti-itch cream; Treatment of infection; Fecal incontinence treatment; Oral antihistamine;  Zinc oxide ointment; Petroleum jelly; Hydrocortisone 1% cream; Dietary changes (reducing irritants like tea, coffee, cola, alcohol, citrus fruits, pepper, dairy products, spicy foods, tomato sauce and tomatoes); Increased fiber intake (vegetables, whole grains, noncitrus fruits, beans, nuts, seeds, fiber supplements like psyllium or methylcellulose); Colonoscopy (mentioned as an associated procedure, but not explicitly as a diagnostic test in this context);  Careful washing routine to keep the area clean, cool, and dry;  Applying a moist, room-temperature compress; Lukewarm oatmeal bath.",Pinworm test,Oral antihistamine; Hydrocortisone 1% cream;  Psyllium (Metamucil); Methylcellulose (Citrucel)
Anaphylaxis,Anaphylaxis,"Provider questions about previous allergic reactions (foods, medications, latex, insect stings); blood test to measure tryptase levels (elevated up to 3 hours post-anaphylaxis); allergy skin or blood tests to identify triggers; ruling out other conditions with similar symptoms.","Cardiopulmonary resuscitation (CPR); Epinephrine; Oxygen; Intravenous antihistamines; Intravenous cortisone; Beta-agonist (e.g., albuterol); Allergy shots (immunotherapy for insect sting anaphylaxis);  Hemodialysis",Blood test (tryptase); Allergy skin tests; Allergy blood tests; Creatinine test; Urinalysis,Epinephrine; Intravenous antihistamines; Cortisone; Albuterol
